districts/city,assault_on_women_with_intent_to_outrage_her_modesty_-_incidents_(i),assault_on_women_with_intent_to_outrage_her_modesty_-_victims_(v),assault_on_women_with_intent_to_outrage_her_modesty_-_r_(crime_rate),assault_on_women_-_i,assault_on_women_-_v,assault_on_women_-_r,sexual_harrassment_total_-_i,sexual_harrassment_total_-_v,sexual_harrassment_total_-_r,sh_at_work/premises_-_i,sh_at_work/premises_-_v,sh_at_work/premises_-_r,sh_in_public_transport_-_i,sh_in_public_transport_-_v,sh_in_public_transport_-_r,sh_in_shelter_homes_for_women_and_children_-_i,sh_in_shelter_homes_for_women_and_children_-_v,sh_in_shelter_homes_for_women_and_children_-_r,sh_in_other_places_-_i,sh_in_other_places_-_v,sh_in_other_places_-_r,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_(sec.354b_ipc)_-_i,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_(sec.354b_ipc)_-_v,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_(sec.354b_ipc)_-_r,voyeurism_-_i,voyeurism_-_v,voyeurism_-_r,stalking_-_i,stalking_-_v,stalking_-_r,rape_(sec_376)_-_i,rape_-_v,rape_-_r,attempt_to_commit_rape_(sec.376/511)_-_i,attempt_to_commit_rape_-_v,attempt_to_commit_rape_-_r,total_crime_incidents,severity_score,risk_level,total_crime_rate
Salem,40,40,2.8,40,40,2.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,0.6,0,0,0.0,89,325,High,6.199999999999999
Salem City,18,18,4.1,9,9,2.0,6,6,1.4,2,2,0.5,4,4,0.9,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,2,2,0.5,7,7,1.6,0,0,0.0,43,147,Medium,11.2
Sivagangai,34,34,4.8,24,24,3.4,4,4,0.6,0,0,0.0,0,0,0.0,4,4,0.6,0,0,0.0,1,1,0.1,3,3,0.4,2,2,0.3,9,9,1.3,1,1,0.1,78,271,Medium,11.6
Thanjavur,104,104,8.1,104,104,8.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,0.8,3,3,0.2,221,790,High,17.2
Theni,33,33,5.0,22,22,3.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,3,3,0.5,6,6,0.9,10,10,1.5,4,4,0.6,80,285,Medium,12.100000000000001
Thirunelveli,90,90,14.3,51,51,8.1,17,17,2.7,2,2,0.3,0,0,0.0,6,6,1.0,9,9,1.4,6,6,1.0,8,8,1.3,8,8,1.3,9,9,1.4,2,2,0.3,191,625,High,33.099999999999994
Thirunelveli City,19,19,7.5,7,7,2.8,7,7,2.8,0,0,0.0,2,2,0.8,0,0,0.0,5,5,2.0,1,1,0.4,1,1,0.4,3,3,1.2,3,3,1.2,0,0,0.0,41,129,Low,19.099999999999998
Thiruvallur,22,22,1.7,13,13,1.0,2,2,0.2,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2,1,1,0.1,3,3,0.2,3,3,0.2,8,8,0.6,0,0,0.0,52,181,Medium,4.200000000000001
Thiruvannamalai,22,22,1.7,15,15,1.1,5,5,0.4,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,1,1,0.1,0,0,0.0,1,1,0.1,16,16,1.2,1,1,0.1,61,227,Medium,5.1
Thiruvarur,39,39,5.8,34,34,5.0,2,2,0.3,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,1,1,0.1,0,0,0.0,2,2,0.3,7,7,1.0,0,0,0.0,85,302,High,12.800000000000002
Thoothukudi,68,68,7.3,35,35,3.7,22,22,2.4,0,0,0.0,0,0,0.0,0,0,0.0,22,22,2.4,6,6,0.6,3,3,0.3,2,2,0.2,11,11,1.2,3,3,0.3,150,491,High,18.400000000000002
Tiruppur,10,10,0.9,10,10,0.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.5,0,0,0.0,25,95,Low,2.3
Tiruppur City,7,7,3.0,5,5,2.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.8,2,2,0.8,0,0,0.0,16,57,Low,6.699999999999999
Trichy,49,49,4.9,42,42,4.2,6,6,0.6,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.6,0,0,0.0,0,0,0.0,1,1,0.1,13,13,1.3,2,2,0.2,113,403,High,11.9
Trichy City,15,15,3.3,9,9,2.0,4,4,0.9,1,1,0.2,0,0,0.0,3,3,0.7,0,0,0.0,0,0,0.0,1,1,0.2,1,1,0.2,2,2,0.4,0,0,0.0,32,104,Low,7.900000000000001
Vellore,14,14,1.7,14,14,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.6,0,0,0.0,33,123,Low,4.0
Villupuram,28,28,2.5,28,28,2.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,14,14,1.3,0,0,0.0,70,266,Medium,6.3
Virudhunagar,35,35,3.4,16,16,1.5,10,10,1.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,1.0,3,3,0.3,2,2,0.2,4,4,0.4,15,15,1.4,0,0,0.0,85,292,High,9.200000000000001
Chengalpattu,15,15,1.2,15,15,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,0,0,0.0,35,130,Low,2.8
Kallakurichi,104,104,14.0,100,100,13.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,2,2,0.3,10,10,1.3,0,0,0.0,218,772,High,29.3
Ranipet,14,14,2.2,5,5,0.8,3,3,0.5,0,0,0.0,0,0,0.0,1,1,0.2,2,2,0.3,4,4,0.6,1,1,0.2,1,1,0.2,2,2,0.3,0,0,0.0,30,99,Low,5.3
Tiruppattur,9,9,1.4,5,5,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,1,1,0.2,2,2,0.3,4,4,0.6,2,2,0.3,24,87,Low,3.8000000000000003
Tenkasi,70,70,9.2,38,38,5.0,16,16,2.1,0,0,0.0,0,0,0.0,0,0,0.0,16,16,2.1,4,4,0.5,3,3,0.4,9,9,1.2,8,8,1.0,0,0,0.0,148,483,High,21.5
Mayiladuthurai,69,69,14.1,58,58,11.9,6,6,1.2,0,0,0.0,0,0,0.0,0,0,0.0,6,6,1.2,3,3,0.6,0,0,0.0,2,2,0.4,3,3,0.6,2,2,0.4,143,492,High,30.4
Avadi,15,15,7.1,10,10,4.7,1,1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,3,1.4,1,1,0.5,9,9,4.3,0,0,0.0,39,141,Low,19.0
Tambaram,27,27,6.7,17,17,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,2.5,11,11,2.7,0,0,0.0,65,234,Medium,16.1
